order_date,category,repeat_orders,repeat_buyers,quantity,revenue,repeat_rate
2024-04-16,셋업,1,1,1,169000,1.0
2024-04-16,긴바지,1,1,1,119000,1.0
2024-04-16,여성,1,1,1,104500,1.0
2024-04-16,바람막이,1,1,1,84500,1.0
2024-04-16,남성,2,1,3,59000,0.5
2024-04-17,남성,2,2,4,104500,1.0
2024-04-18,라운드티,1,1,1,60000,1.0
2024-04-19,남성,2,2,2,205000,1.0
2024-04-19,반바지,2,2,3,119060,1.0
2024-04-19,라운드티,2,2,3,107140,1.0
2024-04-20,셋업,1,1,1,99000,1.0
2024-04-20,남성,2,2,3,87680,1.0
2024-04-20,햇,1,1,1,37680,1.0
2024-04-21,등산화,1,1,1,219000,1.0
2024-04-21,남성,1,1,2,163000,1.0
2024-04-21,자켓/ 베스트,1,1,1,114500,1.0
2024-04-21,반바지,1,1,1,79000,1.0
2024-04-22,남성,5,5,7,435000,1.0
2024-04-22,자켓/ 베스트,2,1,3,383500,0.5
2024-04-22,바람막이,2,2,2,176500,1.0
2024-04-22,라운드티,2,2,2,118000,1.0
2024-04-22,등산화,1,1,1,84500,1.0
2024-04-22,UNKNOWN,1,1,1,34500,1.0
2024-04-23,남성,4,4,9,250000,1.0
2024-04-23,긴바지,1,1,1,119000,1.0
2024-04-23,여성,1,1,1,54500,1.0
2024-04-24,남성,4,4,4,348240,1.0
2024-04-24,트레일러닝,2,1,2,216030,0.5
2024-04-24,라운드티,3,3,5,208100,1.0
2024-04-24,긴바지,2,2,2,101770,1.0
2024-04-24,등산화,1,1,1,79500,1.0
2024-04-24,반바지,1,1,1,39500,1.0
2024-04-25,긴바지,2,2,2,238000,1.0
2024-04-25,남성,3,3,4,223000,1.0
2024-04-25,스니커즈,1,1,1,95300,1.0
2024-04-25,등산화,1,1,1,79500,1.0
2024-04-26,남성,3,3,3,213380,1.0
2024-04-26,등산화,1,1,1,171510,1.0
2024-04-26,바람막이,1,1,1,122380,1.0
2024-04-26,셋업,1,1,1,69500,1.0
2024-04-27,남성,4,4,8,643480,1.0
2024-04-27,긴바지,1,1,1,136440,1.0
2024-04-27,셋업,1,1,1,71200,1.0
2024-04-27,라운드티,1,1,1,55200,1.0
2024-04-28,남성,5,5,6,274000,1.0
2024-04-28,라운드티,2,2,2,155610,1.0
2024-04-28,UNKNOWN,2,2,2,149550,1.0
2024-04-29,남성,3,3,4,274120,1.0
2024-04-29,카고/조거,1,1,1,85020,1.0
2024-04-29,하이킹,1,1,1,69500,1.0
2024-04-29,등산화,1,1,1,64500,1.0
2024-04-29,라운드티,1,1,2,59000,1.0
2024-04-29,셋업,1,1,1,44500,1.0
2024-04-29,UNKNOWN,1,1,1,34500,1.0
2024-04-29,반바지,1,1,1,24500,1.0
2024-04-30,남성,6,6,6,378990,1.0
2024-04-30,여성,3,1,3,163500,0.3333333333333333
2024-04-30,긴바지,2,2,2,147700,1.0
2024-04-30,자켓/ 베스트,1,1,1,109500,1.0
2024-04-30,바람막이,2,1,2,99000,0.5
2024-04-30,반바지,2,1,2,79000,0.5
2024-04-30,UNKNOWN,1,1,1,34500,1.0
2024-04-30,라운드티,1,1,1,34500,1.0
2024-05-01,여성,2,2,2,218550,1.0
2024-05-01,남성,2,2,2,88020,1.0
2024-05-01,라운드티,1,1,1,53400,1.0
2024-05-01,UNKNOWN,1,1,1,49890,1.0
2024-05-02,남성,5,4,13,684500,0.8
2024-05-02,라운드티,6,6,7,291320,1.0
2024-05-02,UNKNOWN,1,1,2,179000,1.0
2024-05-02,하이킹,1,1,2,139000,1.0
2024-05-02,긴바지,2,2,2,123700,1.0
2024-05-02,여성,1,1,1,79000,1.0
2024-05-02,셔츠,1,1,1,44500,1.0
2024-05-02,반바지,1,1,1,22900,1.0
2024-05-03,긴바지,2,2,4,378900,1.0
2024-05-03,라운드티,3,3,8,368500,1.0
2024-05-03,남성,5,5,6,353380,1.0
2024-05-03,자켓/ 베스트,1,1,1,144680,1.0
2024-05-03,하이킹,1,1,1,94500,1.0
2024-05-03,가방,1,1,1,74500,1.0
2024-05-03,반바지,1,1,2,70000,1.0
2024-05-03,UNKNOWN,1,1,1,69000,1.0
2024-05-04,남성,6,6,7,289100,1.0
2024-05-04,긴바지,1,1,1,109460,1.0
2024-05-05,남성,2,2,2,204420,1.0
2024-05-05,라운드티,3,3,3,173540,1.0
2024-05-05,바람막이,1,1,1,124330,1.0
2024-05-05,트레일러닝,1,1,1,109000,1.0
2024-05-05,긴바지,1,1,1,76170,1.0
2024-05-06,남성,5,5,6,550480,1.0
2024-05-06,긴바지,1,1,1,72050,1.0
2024-05-06,상의,1,1,1,65250,1.0
2024-05-06,UNKNOWN,1,1,1,62100,1.0
2024-05-07,남성,13,13,18,720130,1.0
2024-05-07,자켓/ 베스트,3,3,3,346490,1.0
2024-05-07,긴바지,2,2,2,187700,1.0
2024-05-07,등산화,1,1,1,172320,1.0
2024-05-07,라운드티,2,2,2,113590,1.0
2024-05-07,상의,1,1,1,76630,1.0
2024-05-07,가방,1,1,1,74500,1.0
2024-05-08,남성,9,8,12,743620,0.8888888888888888
