dow_num,weekday,order_hour,orders,buyers,quantity,revenue,aov
1,일,0,235,231,304,25290581,107619.49361702127
1,일,1,159,159,231,18201699,114476.09433962264
1,일,2,81,79,114,7832190,96693.70370370371
1,일,3,55,55,70,5782040,105128.0
1,일,4,32,31,39,3672680,114771.25
1,일,5,54,53,66,4797655,88845.46296296296
1,일,6,68,68,89,6524652,95950.76470588235
1,일,7,147,144,204,15898233,108151.24489795919
1,일,8,227,225,311,22336654,98399.35682819384
1,일,9,1040,990,1371,64802156,62309.765384615384
1,일,10,892,858,1195,68053502,76293.16367713004
1,일,11,723,703,961,58213275,80516.28630705395
1,일,12,568,559,728,49150846,86533.17957746479
1,일,13,560,549,771,51592950,92130.26785714286
1,일,14,599,588,807,62530357,104391.2470784641
1,일,15,769,750,1087,74428101,96785.56697009102
1,일,16,839,827,1107,71239203,84909.6579261025
1,일,17,791,778,1032,76068336,96167.30214917826
1,일,18,774,767,1016,77845274,100575.28940568476
1,일,19,800,779,1046,79384930,99231.1625
1,일,20,873,848,1199,91577006,104899.20504009163
1,일,21,965,927,1275,92728975,96092.20207253886
1,일,22,921,891,1261,93396268,101407.45711183496
1,일,23,870,829,1230,87508488,100584.46896551724
2,월,0,283,281,386,29540373,104382.94346289753
2,월,1,145,144,187,13940037,96138.18620689656
2,월,2,93,92,124,9479770,101933.masked_683f6c1b3458
2,월,3,48,47,67,4491980,93582.91666666667
2,월,4,43,43,52,4234186,98469.44186046511
2,월,5,57,57,68,6121222,107389.85964912281
2,월,6,92,92,140,11444245,124393.96739130435
2,월,7,179,176,244,19289392,107761.96648044692
2,월,8,310,300,420,30838842,99480.13548387097
2,월,9,437,422,657,46628479,106701.32494279176
2,월,10,553,528,781,63078068,114065.22242314648
2,월,11,669,643,985,74596347,111504.25560538117
2,월,12,575,559,816,61757562,107404.45565217391
2,월,13,616,598,866,70110811,113816.25162337662
2,월,14,531,516,777,62652261,117989.19209039547
2,월,15,543,533,735,53989503,99428.18232044199
2,월,16,532,523,797,56963825,107074.8590225564
2,월,17,481,463,761,56510753,117485.97297297297
2,월,18,427,417,567,45706516,107041.02107728337
2,월,19,422,416,586,48555292,115059.9336492891
2,월,20,515,507,674,58693077,113967.13980582524
2,월,21,574,555,775,59977252,104489.98606271777
2,월,22,521,509,709,60245548,115634.4491362764
2,월,23,489,479,640,54410256,111268.4171779141
3,화,0,264,263,356,27426530,103888.37121212122
3,화,1,127,121,167,12680800,99848.8188976378
3,화,2,68,67,94,7322780,107687.94117647059
3,화,3,29,29,43,3755563,129502.1724137931
3,화,4,36,36,46,2943570,81765.83333333333
3,화,5,64,64,99,8265570,129149.53125
3,화,6,96,95,138,10019140,104366.04166666667
3,화,7,192,189,281,24734140,128823.64583333333
3,화,8,312,308,421,34508060,110602.7564102564
3,화,9,532,514,759,55546029,104409.82894736843
3,화,10,563,534,773,59724854,106083.22202486679
3,화,11,483,470,696,59539005,123269.16149068323
3,화,12,446,429,648,53100770,119060.02242152467
3,화,13,496,477,940,70406321,141948.22782258064
3,화,14,456,431,733,52812869,115817.6951754386
3,화,15,642,618,994,72667392,113189.08411214953
3,화,16,615,588,904,60483980,98347.93495934959
3,화,17,525,514,871,58205705,110868.00952380952
3,화,18,470,454,610,46718606,99401.28936170213
3,화,19,486,479,617,50571564,104056.71604938271
3,화,20,494,474,668,51183972,103611.27935222672
3,화,21,523,516,700,54854580,104884.4741873805
3,화,22,576,563,770,59475850,103256.68402777778
3,화,23,491,479,684,54208564,110404.40733197556
4,수,0,249,247,351,26980531,108355.54618473895
4,수,1,128,126,185,14254049,111359.7578125
4,수,2,78,77,98,7115560,91225.1282051282
4,수,3,34,33,47,3592040,105648.23529411765
4,수,4,47,47,58,4638180,98684.68085106384
4,수,5,62,61,86,5887005,94951.69354838709
4,수,6,126,124,157,12803812,101617.55555555556
4,수,7,212,208,285,22558432,106407.69811320755
4,수,8,320,316,445,32104421,100326.315625
4,수,9,503,490,740,52312075,104000.14910536779
4,수,10,557,541,975,66106608,118683.31777378815
4,수,11,555,532,809,59288372,106825.8954954955
4,수,12,520,509,730,63946020,122973.11538461539
4,수,13,498,486,757,62617196,125737.34136546185
4,수,14,526,517,869,66677827,126763.92965779468
4,수,15,589,575,846,60686766,103033.558573854
4,수,16,516,502,660,52908568,102535.98449612403
4,수,17,461,441,709,62569191,135724.9262472885
4,수,18,420,416,587,42520233,101238.65
4,수,19,402,386,589,49266204,122552.74626865672
4,수,20,455,450,606,49405988,108584.58901098902
4,수,21,589,573,805,62297102,105767.57555178268
4,수,22,560,543,815,68767847,122799.72678571429
4,수,23,434,414,650,45732366,105374.11520737327
5,목,0,249,247,395,31316752,125770.08835341365
5,목,1,107,107,153,10575810,98839.34579439252
5,목,2,79,79,123,9067913,114783.70886075949
5,목,3,46,46,61,3891670,84601.52173913043
5,목,4,46,46,65,5240430,113922.39130434782
5,목,5,53,53,71,4990803,94166.09433962264
5,목,6,93,93,113,8817760,94814.62365591398
5,목,7,152,151,189,13844879,91084.7302631579
5,목,8,298,292,384,30941778,103831.46979865772
5,목,9,532,518,870,58836393,110594.72368421052
5,목,10,543,525,778,57812770,106469.1896869245
5,목,11,681,648,944,72083679,105849.74889867842
5,목,12,702,682,980,77800340,110826.69515669516
5,목,13,637,611,1218,87774059,137792.87127158555
5,목,14,580,560,805,64491494,111192.23103448276
5,목,15,537,524,715,56484158,105184.65176908752
5,목,16,534,526,810,70506952,132035.4906367041
5,목,17,497,484,680,54880862,110424.26961770623
5,목,18,462,452,652,50539057,109391.89826839826
5,목,19,460,449,613,51084892,111054.11304347827
5,목,20,495,479,669,56361246,113861.10303030303
5,목,21,535,528,752,61443581,114847.81495327102
5,목,22,556,543,768,61188580,110051.40287769784
5,목,23,465,458,677,46714222,100460.69247311828
6,금,0,265,259,376,29434308,111072.86037735849
6,금,1,137,130,186,14672519,107098.67883211678
6,금,2,82,80,122,9919039,120963.89024390244
6,금,3,53,51,61,5805709,109541.67924528301
6,금,4,46,46,64,4565170,99242.82608695653
6,금,5,75,75,99,8265749,110209.98666666666
6,금,6,113,111,156,11382246,100727.8407079646
6,금,7,176,167,276,19698569,111923.6875
6,금,8,300,294,393,38840590,129468.63333333333
6,금,9,680,662,889,58986290,86744.54411764706
6,금,10,822,782,1184,103008112,125314.00486618005
6,금,11,751,722,1209,89135598,118689.21171770972
6,금,12,667,650,848,65414407,98072.57421289355
6,금,13,652,626,907,66867194,102557.04601226994
6,금,14,549,541,862,66884147,121829.04735883424
6,금,15,552,540,796,58231553,105491.94384057971
6,금,16,496,482,651,51390691,103610.26411290323
6,금,17,435,425,650,51533382,118467.5448275862
6,금,18,428,415,554,45294019,105827.14719626168
6,금,19,445,435,578,47413952,106548.20674157303
6,금,20,448,433,631,49908729,111403.41294642857
6,금,21,456,445,606,45773009,100379.40570175438
6,금,22,453,447,594,47096284,103965.30684326711
6,금,23,457,442,612,42389304,92755.5886214442
7,토,0,204,199,293,23078644,113130.60784313726
7,토,1,123,122,182,13920469,113174.54471544715
7,토,2,61,60,82,7140325,117054.5081967213
7,토,3,47,46,57,5591856,118975.65957446808
7,토,4,49,48,66,5264630,107441.42857142857
7,토,5,60,57,77,6450053,107500.88333333333
7,토,6,84,83,104,9303388,110754.61904761905
7,토,7,147,144,223,13887700,94474.14965986395
7,토,8,199,197,273,18594991,93442.16582914573
7,토,9,341,333,446,33786892,99081.79472140763
7,토,10,369,361,475,37707170,102187.45257452574
7,토,11,444,434,596,43523816,98026.61261261262
7,토,12,365,359,476,35201631,96442.82465753425
7,토,13,344,335,475,38049810,110609.91279069768
7,토,14,396,387,533,49105976,124004.9898989899
7,토,15,473,470,632,49023302,103643.34460887949
7,토,16,500,492,651,52387281,104774.562
7,토,17,414,412,572,47090424,113744.98550724638
7,토,18,427,415,577,50767197,118892.73302107728
7,토,19,442,430,590,48888065,110606.48190045249
7,토,20,474,464,635,53636034,113156.18987341772
7,토,21,490,482,669,56283722,114864.73877551021
7,토,22,466,454,616,49334940,105868.96995708154
7,토,23,464,453,664,49528615,106742.7047413793
