상품코드,상품명한글,상품명영문,정상가,판매가
C75YU1013060,,COLUMBIA PACKABLE BACKPACK 15L,69000,69000
C75YU1013010,,COLUMBIA PACKABLE BACKPACK 15L,69000,69000
C75YMT610191,,COLUMBIA ARM COOLING 2PAIR,39000,39000
C75YMT610100,,COLUMBIA ARM COOLING 2PAIR,39000,39000
C75YMT610010,,COLUMBIA ARM COOLING 2PAIR,39000,39000
C72YMT871464,,COLUMBIA MEN SWEAT SHORTS,69000,69000
C72YMT871023,,COLUMBIA MEN SWEAT SHORTS,69000,69000
C72YMT871010,,COLUMBIA MEN SWEAT SHORTS,69000,69000
C72YMT672497,,COLUMBIA SS WOVEN POLO,89000,89000
C72YMT672297,,COLUMBIA SS WOVEN POLO,89000,89000
C72YMT672023,,COLUMBIA SS WOVEN POLO,89000,89000
C72YMD613464,,컬럼비아 남성 웨이브 폴로티셔츠,13549,13549
C72YMD613010,,컬럼비아 남성 웨이브 폴로티셔츠,13549,13549
C72YMD612497,,컬럼비아 남성 와플 라운드 반팔티셔츠,8827,8827
C72YMD612010,,컬럼비아 남성 와플 라운드 반팔티셔츠,8827,8827
C72YMD611030,,컬럼비아 남성 메쉬 반집업 반팔티셔츠,12985,12985
C72YMD611010,,컬럼비아 남성 메쉬 반집업 반팔티셔츠,12985,12985
C72YMD610023,,컬럼비아 남성 베이직 반집업 반팔티셔츠,13467,13467
C72YMD610010,,컬럼비아 남성 베이직 반집업 반팔티셔츠,13467,13467
C72YMD609450,,컬럼비아 남성 와플 반집업 반팔티셔츠,13378,13378
C72YMD609010,,컬럼비아 남성 와플 반집업 반팔티셔츠,13378,13378
C72YMD606705,,컬럼비아 남성 소로나 그래픽 반팔티셔츠,14928,14928
C72YMD606030,,컬럼비아 남성 소로나 그래픽 반팔티셔츠,14928,14928
C72YMD605464,,컬럼비아　남성　소로나　로고　그래픽　반팔티,13282,13282
C72YMD605397,,컬럼비아　남성　소로나　로고　그래픽　반팔티,13282,13282
C72YMD605100,,컬럼비아　남성　소로나　로고　그래픽　반팔티,13282,13282
C72YMD605089,,컬럼비아　남성　소로나　로고　그래픽　반팔티,13282,13282
C72YMD604321,,컬럼비아 남성 소로나 베이직 반팔티셔츠,13021,13021
